prompt_id,category,disability_type,task_type,prompt_text,notes,gpt4_output,gpt4_error,claude_output,claude_error,groq_output,groq_error,timestamp
P014,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'My doctor said...'",Healthcare/medical information,'My doctor said my recovery is going well and I should continue with the prescribed medication for another week.',,"Here are a few possible completions depending on the context:

**Health update:**
- ""My doctor said everything looks good at my checkup.""

**Sharing instructions:**
- ""My doctor said I need to take my medication with food.""

**Requesting accommodation:**
- ""My doctor said I should rest more, so I need to take a break.""

Would you like me to adjust any of these or suggest something more specific to your situation?",,My doctor said I need to take it easy for the next few days and follow the medication schedule as prescribed. I also have a follow-up appointment scheduled for next week to check on my progress.,,2026-05-26T19:20:32.495767
P015,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I need my medicine...'",Healthcare/medication,"'I need my medicine at 8 PM sharp, please do not forget.'",,"Here are a few natural completions depending on the context:

**If requesting help:**
""I need my medicine now, please help me get it.""

**If explaining timing:**
""I need my medicine—it's time for my next dose.""

**If something's wrong:**
""I need my medicine, I don't feel well.""

Would you like me to suggest a completion for a more specific situation?",,"I need my medicine from the bathroom cabinet, can you please help me get it? It's the one with the blue label, and I need to take it with water.",,2026-05-26T19:20:45.387099
P016,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I have an appointment and...'",Healthcare/access,'I will be unavailable tomorrow afternoon.',,"Here are a few possible completions depending on the context:

- ""I have an appointment and **I need to leave by [time].**""
- ""I have an appointment and **I will need help getting ready.**""
- ""I have an appointment and **I wanted to let you know I won't be available.**""
- ""I have an appointment and **I need a ride, please.**""

Would any of these work, or would you like a different completion?",,"'I have an appointment and I will be back home by 3 pm, so please make sure to have lunch ready for me.'",,2026-05-26T19:20:54.401022
P017,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'At school today I...'",School/work experience,'At school today I learned about the solar system and even got to help with a science experiment.',,"Here are a few natural completions depending on context:

- ""At school today I had a really good day.""
- ""At school today I learned something new.""
- ""At school today I need help with something.""
- ""At school today I had a problem I want to talk about.""

**Would you like me to offer different options?** (For example: social, academic, requesting help, or sharing feelings)",,"At school today I saw my friends and we worked on a fun math project together. We also had a great time playing outside during recess, and I scored a goal in soccer.",,2026-05-26T19:21:01.470423
P018,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I need more time to...'",School/work self-advocacy,"complete this task, as I want to ensure its accuracy and quality.",,"Here are a few natural completions depending on the context:

- ""I need more time to **think about my answer.**""
- ""I need more time to **finish what I'm saying.**""
- ""I need more time to **process what you said.**""
- ""I need more time to **complete this task.**""

Would you like me to suggest options for a specific situation?",,"I need more time to finish this project, can we discuss a possible deadline extension.",,2026-05-26T19:21:09.182226
P019,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'My teacher said...'",School/work instruction,"""My teacher said I did really well on my history project and that I should be proud of my work.""",,"Here are a few possible completions depending on the context:

**Positive news:**
""My teacher said I did a great job on my work today.""

**Information sharing:**
""My teacher said we have a test next week.""

**Request/need:**
""My teacher said I need to bring something from home.""

Would you like me to offer different options, or is there a specific situation you're trying to communicate about?",,My teacher said that I did a great job on my project and that I should be very proud of myself. She also said that she's looking forward to seeing what I create next.,,2026-05-26T19:21:18.553591
P020,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'Please stop...'",Self-advocacy/boundaries,"'Please stop speaking so fast, I need a bit more time to process what you're saying.'",,"Here are a few natural completions depending on context:

- ""Please stop, I need a moment to respond.""
- ""Please stop talking over me.""
- ""Please stop, that's bothering me.""
- ""Please stop and let me finish my thought.""

**Which context fits best?** I can tailor it further if you let me know the situation (e.g., someone interrupting, unwanted touching, too much noise, etc.).",,'Please stop talking so I can have a turn to communicate.' This will help me to fully express my thoughts and needs.,,2026-05-26T19:21:28.521729
P021,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I do not want...'",Self-advocacy/refusal,"'I do not want to go to the park today, I'd rather stay at home and read a book.'",,"Here are a few natural completions depending on the likely context:

- ""I do not want **to do that right now.**""
- ""I do not want **help with this, thank you.**""
- ""I do not want **that one, please give me a different choice.**""
- ""I do not want **to go yet.**""

Would you like me to suggest options for a more specific situation?",,"I do not want to eat that, can I have something else instead.",,2026-05-26T19:21:38.714716
P022,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I need help with...'",Self-advocacy/support,"'I need help with preparing dinner tonight, especially chopping vegetables and setting the oven.'",,"Here are a few natural completions depending on context:

- ""I need help with **getting my wheelchair positioned closer to the table.**""
- ""I need help with **understanding what was just said.**""
- ""I need help with **opening this container.**""

Would you like me to suggest completions for a more specific situation? Just let me know the context (meal time, medical appointment, classroom, etc.) and I can tailor it better.",,"I need help with carrying my groceries to the car, could you please assist me. If it's not too much trouble, I would also appreciate help unloading them at home.",,2026-05-26T19:21:49.502114
P023,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I want to go to the store and...'",Community/access,buy some groceries for the week.,,"Here are a few natural completions depending on the likely intent:

**Shopping-focused:**
""I want to go to the store and **buy some groceries.**""

**Social:**
""I want to go to the store and **would like someone to come with me.**""

**Specific need:**
""I want to go to the store and **pick up a few things I need.**""

Would you like me to adjust based on a specific context or offer different options?",,'I want to go to the store and buy some milk and eggs for breakfast.',,2026-05-26T19:21:57.018498
P024,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'On the weekend I...'",Community/leisure,'On the weekend I usually enjoy going for long walks in the park and reading a good book at home.',,On the weekend I went out with friends and had a great time.,,"On the weekend I would like to go to the park and see my friends, and maybe we can have a picnic if the weather is nice.",,2026-05-26T19:22:04.650050
P025,communication,AAC,sentence_prediction,"You are an assistive communication tool supporting a person who uses AAC. Complete this partial message in a natural, clear, and contextually appropriate way. Keep it to 1-2 sentences. Partial message: 'I need money for...'",Community/financial,'I need money for groceries and household bills.',,"Here are a few natural completions depending on the context:

- ""I need money for **the bus fare home.**""
- ""I need money for **lunch today.**""
- ""I need money for **my medication at the pharmacy.**""
- ""I need money for **the vending machine.**""

Would you like me to suggest options for a specific situation?",,'I need money for groceries and to pay my bills that are due this week.',,2026-05-26T19:22:09.992436
P026,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'hungry... food... now'",Daily needs/food,I am hungry and would like some food now.,,"Based on the fragment, here's a complete sentence that preserves the intended meaning:

**""I'm hungry and would like some food now.""**

---

**Alternative options** (depending on context):

- ""I'm feeling hungry — can I have something to eat?""
- ""I need food now, please.""
- ""I'm hungry and ready to eat.""

---

Would you like me to adjust the tone (more casual, more urgent, or as a request to someone specific)?",,"I'm feeling hungry, and I would like to have some food now.",,2026-05-26T19:22:17.204564
P027,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'pain... leg... bad'",Daily needs/pain,I have severe pain in my leg.,,"Here's a complete sentence based on the fragment:

**""I have bad pain in my leg.""**

---

**Alternative options** (depending on intended meaning):

- ""My leg is hurting badly.""
- ""I'm experiencing a lot of leg pain.""
- ""The pain in my leg is really bad today.""

---

Would you like me to adjust the tone (more casual/formal) or add context (like timing or requesting help)?",,My leg is causing me a lot of bad pain.,,2026-05-26T19:22:24.917356
P028,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'tired... sleep... please'",Daily needs/rest,"I am tired and would like to go to sleep, please.",,"Based on the fragment ""tired... sleep... please,"" here's a complete sentence that preserves the intended meaning:

**""I'm feeling tired and would like to sleep now, please.""**

---

**Alternative interpretations** (in case the context differs):

- ""I'm too tired — please let me sleep.""
- ""Could you please help me get ready for sleep? I'm very tired.""
- ""Please understand, I'm tired and need to rest.""

Would any of these better capture what you mean, or would you like me to adjust?",,"I'm feeling very tired and would like to go to sleep, please.",,2026-05-26T19:22:32.235213
P029,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'bathroom... help... now'",Daily needs/personal care,I need help in the bathroom right now.,,"Based on the fragment, here is a complete sentence that preserves the intended meaning:

**""I need help getting to the bathroom right now.""**

---

*Alternative interpretations if needed:*
- ""I need help in the bathroom now.""
- ""Can someone help me to the bathroom, please?""

---

Would you like me to adjust the tone or urgency of this message?",,I need help getting to the bathroom right now.,,2026-05-26T19:22:41.904855
P030,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'miss... wife... home'",Social/emotional longing,I miss my wife at home.,,"Based on the fragment ""miss... wife... home,"" here's a complete sentence that preserves the likely intended meaning:

**""I miss my wife at home.""**

Or alternatively, depending on context:

- ""I miss my wife—I want to go home.""
- ""My wife misses me at home.""
- ""I miss being home with my wife.""

---

Would any of these capture what you're trying to say? If not, I can adjust—just give me another word or gesture to help me understand better.",,I miss my wife when I'm at home.,,2026-05-26T19:22:49.551374
P031,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'happy... family... visit'",Social/emotional positive,I am happy that my family is visiting.,,"Based on the fragment ""happy... family... visit,"" here's a complete sentence that preserves the likely intended meaning:

**""I'm happy that my family is coming to visit.""**

---

**Alternative interpretations:**

- ""I had a happy visit with my family.""
- ""I'm happy about the family visit.""
- ""My family visit made me happy.""

---

Would any of these capture what you mean, or would you like to clarify further? I'm happy to adjust.",,I'm happy when my family comes to visit.,,2026-05-26T19:22:57.287888
P032,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'scared... alone... night'",Social/emotional fear,I am scared and feel alone at night.,,"Here's a possible complete sentence based on the fragment:

**""I feel scared when I'm alone at night.""**

---

**Alternative interpretations:**

- ""I'm scared of being alone at night.""
- ""The night scares me when I'm by myself.""

---

Would you like me to adjust the tone, add more detail, or offer other options? I can also simplify it further if needed.",,I get scared when I'm alone at night.,,2026-05-26T19:23:04.921583
P033,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'angry... not fair... no'",Social/emotional frustration,I'm angry because it's not fair.,,"Based on the fragment, here's a complete sentence that preserves the intended meaning:

**""I'm angry because this isn't fair, and I don't accept it.""**

---

**Alternative options** (depending on context):

- ""I feel angry — this situation isn't fair, and I want to say no.""
- ""This isn't fair and it makes me angry. I don't agree.""
- ""I'm upset because what happened wasn't fair.""

---

Would you like me to adjust the tone (softer/stronger) or offer more options? I can also help phrase this for a specific situation if you'd like to share more context.",,"I'm feeling angry because I think this situation is not fair, and I'm saying no to it.",,2026-05-26T19:23:13.205988
P034,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'doctor... medicine... confused'",Healthcare/medical information,The person is confused about the medication prescribed by the doctor.,,"Based on the fragment, here are a few possible interpretations:

**Most likely meanings:**

- ""I'm confused about the medicine the doctor prescribed.""
- ""I need to talk to the doctor because I'm confused about my medicine.""
- ""The doctor's instructions about the medicine are confusing to me.""

**Alternative interpretation:**

- ""The medicine is making me feel confused, and I want to tell the doctor.""

---

**Would any of these capture what you mean?** If not, I can help narrow it down:

- Is the confusion about **how to take** the medicine?
- Is the medicine **causing** confusion as a side effect?
- Do you need to **contact** the doctor about this?",,"I'm confused about the medicine the doctor prescribed for me.

This sentence aims to capture the speaker's intended meaning by incorporating the key elements from the fragmented message: ""doctor,"" ""medicine,"" and ""confused."" It provides a clear and respectful expression of the speaker's concern, facilitating effective communication.",,2026-05-26T19:23:22.210493
P035,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'hospital... appointment... tomorrow'",Healthcare/access,I have a hospital appointment tomorrow.,,"Based on the fragment, here's a complete sentence:

**""I have a hospital appointment tomorrow.""**

---

**Alternative interpretations** (in case the context differs):

- ""I need to go to the hospital for an appointment tomorrow.""
- ""Can you help me get to my hospital appointment tomorrow?""
- ""I want to remind you about my hospital appointment tomorrow.""

---

Would any of these work, or would you like me to adjust the meaning? For example, is this about:
- **Asking for a ride?**
- **Sharing information?**
- **Requesting help to prepare?**",,I have an appointment at the hospital tomorrow.,,2026-05-26T19:23:31.219766
P036,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'pain... chest... help'",Healthcare/emergency,I am experiencing chest pain and need help.,,"Based on the fragment ""pain... chest... help,"" here is a complete sentence:

**""I am having chest pain and need help.""**

---

**Alternative options depending on context:**

- ""I'm experiencing pain in my chest — please help me.""
- ""My chest hurts and I need assistance.""

---

⚠️ **Important note:** This message indicates a potential medical emergency. If you are supporting this person in real-time, please consider calling emergency services (911 or local equivalent) immediately, as chest pain can signal a serious cardiac event.",,I'm experiencing chest pain and I need your help.,,2026-05-26T19:23:39.399140
P037,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'work... boss... problem'",School/work challenge,There is a problem at work with my boss.,,"Based on the fragment ""work... boss... problem,"" here's a complete sentence that preserves the likely intended meaning:

**""I'm having a problem with my boss at work.""**

---

**Alternative interpretations (if this doesn't feel right):**

- ""There's a problem at work that I need to tell my boss about.""
- ""My boss is causing problems at work.""
- ""I need to talk to my boss about a work problem.""

---

Would any of these capture what you mean? You can also nod, point, or add another word if you'd like to clarify.",,I'm having a problem with my boss at work.,,2026-05-26T19:23:48.177415
P038,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'school... teacher... help'",School/work support,The teacher at the school provides help.,,"Based on the fragment ""school... teacher... help,"" here's a complete sentence that preserves the likely intended meaning:

**""I need help from the teacher at school.""**

---

**Alternative interpretations (in case the context differs):**

- ""The teacher at school helped me.""
- ""Can you help me contact my child's teacher at school?""
- ""I want to help the teacher at school.""

---

Would you like me to adjust the sentence, or does one of these capture what you meant?",,I would like to ask my teacher at school for help.,,2026-05-26T19:23:56.041751
P039,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'no... stop... please'",Self-advocacy/boundaries,"Please, I would like you to stop.",,"Based on this fragment, here are a few possible interpretations of what the person may be trying to communicate:

**Most likely options:**

1. ""Please stop doing that.""
2. ""No, please stop.""
3. ""I would like you to stop, please.""

**Before confirming, I'd suggest checking with the person:**

This fragment could indicate distress or discomfort. It would be important to:
- Pause and give them time
- Check if they're okay
- Ask yes/no questions to clarify (e.g., ""Do you want me to stop what I'm doing?"" or ""Is something bothering you?"")

Would you like me to offer additional interpretations, or is there more context about the situation?",,"Please stop, I'd rather not continue.",,2026-05-26T19:24:03.918054
P040,communication,aphasia,sentence_prediction,"You are an assistive communication tool supporting a person with aphasia who has difficulty with word retrieval and sentence formation. Based on the following fragmented message, generate a complete, natural, and respectful sentence that preserves the speaker's intended meaning. Fragment: 'store... money... need'",Community/independence,I need to go to the store because I need money.,,"Based on the fragment ""store... money... need,"" here are a few possible interpretations:

**Most likely meaning:**
""I need money to go to the store.""

**Other possibilities:**
- ""I need to go to the store and get money.""
- ""I need money from the store."" (perhaps a refund or ATM)
- ""The store needs my money."" (payment is due)

---

Would any of these capture what you mean? You can point to the right one, or give me another word to help clarify. 👍",,I think I need to go to the store because I need some money.,,2026-05-26T19:24:13.371662
P041,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Take one tablet orally twice daily with or without food. Do not exceed the recommended dosage. Consult your physician if symptoms persist or worsen.'",Healthcare/medication instructions,"Take one pill two times a day. You can eat or not eat with it. Do not take more than told. If you still feel sick or feel worse, talk to your doctor.",,"## How to Take Your Medicine

**Take 1 pill by mouth 2 times each day.**

You can take it with food or without food.

**Do not take more pills than this.**

Taking too many pills can hurt you.

**Talk to your doctor if:**
- You still feel sick
- You start feeling worse",,"Take one pill in the morning.
Take one pill at night.
Eat food or not.
Do not take too much.
Tell the doctor if sick.",,2026-05-26T19:24:56.592485
P042,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'The patient presents with moderate hypertension. Lifestyle modifications including dietary sodium restriction and regular aerobic exercise are recommended prior to initiating pharmacological intervention.'",Healthcare/medical diagnosis,The person has high blood pressure. They should eat less salt and exercise more before taking medicine.,,"## Simplified Version

Your blood pressure is too high.

Here is what you can do to feel better:

**Eat less salt.**
- Do not add salt to your food.
- Eat fewer chips and canned soups.

**Move your body every day.**
- Take walks.
- Dance or swim.

Try these things first.

If they do not help, the doctor may give you medicine later.",,"This person has high blood pressure. 
They should eat less salt. 
They should exercise often. 
This helps before taking medicine.",,2026-05-26T19:25:05.711727
P043,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Prior to your surgical procedure you must refrain from consuming food or beverages for a minimum of eight hours. Inform your anesthesiologist of all current medications.'",Healthcare/pre-surgery,"Before your surgery, do not eat or drink anything for at least eight hours. Tell your sleep doctor about all your medicines.",,"## Before Your Surgery

**Do not eat or drink for 8 hours before your surgery.**

Your stomach needs to be empty. This keeps you safe during surgery.

**Tell your doctor about all your medicines.**

This means pills, vitamins, and anything else you take. Your doctor needs to know so they can help you.",,"Do not eat or drink before surgery.
Tell the doctor about your medicines.",,2026-05-26T19:25:13.873250
