prompt_id,category,disability_type,task_type,prompt_text,notes
P045,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'The rehabilitation program consists of a multidisciplinary approach encompassing occupational therapy physiotherapy and speech-language pathology to maximize functional independence.'",Healthcare/rehabilitation
P046,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Pursuant to Section 7 of the Individual Education Plan accommodations including extended time on assessments preferential seating and access to assistive technology have been authorized.'",Education/IEP accommodations
P047,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Students who fail to submit assignments by the stipulated deadline will incur a grade penalty of 10% per day unless prior arrangements have been made with the course instructor.'",Education/assignment policy
P048,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'The school anti-bullying policy defines bullying as repeated intentional behavior that causes harm humiliation or distress. Incidents should be reported to a trusted adult or via the anonymous online portal.'",Education/anti-bullying policy
P049,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'To be eligible for the scholarship applicants must demonstrate academic merit financial need and active participation in extracurricular activities as verified by institutional records.'",Education/scholarship eligibility
P050,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Cognitive behavioral therapy is a structured psychological intervention that aims to modify maladaptive thought patterns and associated behaviors to improve emotional regulation.'",Education/mental health
P051,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'The Disability Discrimination Act prohibits direct and indirect discrimination against individuals with a disability in the areas of employment education and access to goods and services.'",Legal/disability rights
P052,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'As a participant in this research study you have the right to withdraw consent at any time without prejudice to your ongoing care or any other entitlements.'",Legal/research consent
P053,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'In accordance with the organization grievance policy employees wishing to file a formal complaint must submit documentation to the Human Resources department within 10 business days of the incident.'",Legal/workplace rights
P054,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Your lease agreement will automatically renew on a month-to-month basis unless written notice of termination is provided no less than 30 days prior to the lease expiration date.'",Legal/housing tenancy
P055,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'In the event that you are involved in a motor vehicle accident you are legally required to exchange insurance information and report the incident to law enforcement if injuries are sustained.'",Legal/obligation
P056,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Transit services will be temporarily suspended on Route 12 due to infrastructure maintenance works. Alternative bus services will operate via Routes 14 and 16 during this period.'",Community/transport
P057,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Voting is your democratic right. To cast your ballot bring valid government issued photo identification to your designated polling station on election day between 7AM and 8PM.'",Community/civic participation
P058,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'The community garden allotment scheme is open to all residents. Applicants are assessed on a first come first served basis with priority given to households with no private outdoor space.'",Community/participation
P059,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'Recycling contamination occurs when non recyclable materials are placed in the recycling bin. This compromises the entire load and increases processing costs for the municipality.'",Community/environment
P060,cognitive,intellectual_disability,text_simplification,"Simplify the following text for a person with an intellectual disability. Use short sentences (under 15 words), common everyday words, and active voice. Avoid jargon, acronyms, and abstract language. Text: 'To be eligible for supported accommodation applicants must demonstrate a verified disability require daily living assistance and have current support coordinator involvement.'",Community/housing services
